unit,ticker,barTime,closePrice,dataDate,highPrice,lowPrice,openPrice,shortNM,totalValue,totalVolume,vwap,tradeDate
30,399300,10:00,2319.417,2014-01-02,2325.991,2317.425,2323.433,沪深300,8579296438,793113900,2321.3052,20140102
30,399300,10:30,2315.905,2014-01-02,2322.589,2310.653,2319.56,沪深300,7254798500,660786500,2316.323,20140102
30,399300,11:00,2319.733,2014-01-02,2319.93,2311.919,2315.671,沪深300,5676633300,517876300,2316.4828,20140102
30,399300,11:30,2318.602,2014-01-02,2321.817,2316.947,2319.391,沪深300,5229152300,463575200,2319.6964,20140102
30,399300,13:30,2313.852,2014-01-02,2319.272,2313.852,2319.272,沪深300,4403710800,400940600,2316.8281,20140102
30,399300,14:00,2316.468,2014-01-02,2317.201,2312.327,2313.784,沪深300,5352414700,488394200,2315.2893,20140102
30,399300,14:30,2322.57,2014-01-02,2323.485,2316.68,2316.903,沪深300,5582584300,533886600,2320.4078,20140102
30,399300,15:00,2322.159,2014-01-02,2322.736,2318.238,2322.576,沪深300,6502012000,616277700,2320.9088,20140102
30,399300,10:00,2308.989,2014-01-03,2314.836,2305.872,2311.968,沪深300,10425132766,1024447400,2310.0883,20140103
30,399300,10:30,2293.361,2014-01-03,2308.93,2287.949,2308.93,沪深300,10168965900,1050897100,2295.2022,20140103
30,399300,11:00,2285.551,2014-01-03,2293.862,2283.29,2293.749,沪深300,7651020600,834156900,2289.3006,20140103
30,399300,11:30,2286.323,2014-01-03,2291.275,2284.598,2285.564,沪深300,5519070900,585342800,2288.4623,20140103
30,399300,13:30,2288.909,2014-01-03,2290.0,2280.887,2286.519,沪深300,5266254200,580970100,2285.9141,20140103
30,399300,14:00,2288.247,2014-01-03,2289.43,2284.06,2289.163,沪深300,5252383000,526167100,2286.9273,20140103
30,399300,14:30,2288.922,2014-01-03,2291.563,2286.132,2288.237,沪深300,5647973100,567538100,2288.8554,20140103
30,399300,15:00,2290.658,2014-01-03,2291.501,2288.033,2288.806,沪深300,7253148500,725833700,2290.1985,20140103
30,399300,10:00,2251.001,2014-01-06,2283.605,2249.915,2286.371,沪深300,10958022254,1219792900,2259.8001,20140106
30,399300,10:30,2238.14,2014-01-06,2255.249,2234.911,2251.459,沪深300,10001175000,1085191100,2247.6541,20140106
30,399300,11:00,2235.509,2014-01-06,2242.705,2232.533,2237.811,沪深300,7059163400,800013900,2238.7231,20140106
30,399300,11:30,2237.37,2014-01-06,2238.889,2229.334,2235.81,沪深300,6082765400,686170100,2234.8579,20140106
30,399300,13:30,2239.984,2014-01-06,2242.131,2236.413,2238.208,沪深300,4902402300,528681700,2239.5874,20140106
30,399300,14:00,2237.916,2014-01-06,2239.851,2234.465,2239.481,沪深300,5776755900,624750900,2237.4475,20140106
30,399300,14:30,2236.968,2014-01-06,2238.094,2229.958,2238.094,沪深300,6639089400,735921300,2235.0289,20140106
30,399300,15:00,2238.93,2014-01-06,2240.033,2233.246,2237.869,沪深300,8133295900,899346200,2237.0786,20140106
30,399300,10:00,2226.311,2014-01-07,2239.482,2218.647,2222.306,沪深300,7619712727,783566800,2231.0844,20140107
30,399300,10:30,2235.232,2014-01-07,2235.383,2226.495,2226.495,沪深300,5410378900,534587900,2231.0428,20140107
30,399300,11:00,2241.64,2014-01-07,2246.097,2235.481,2235.481,沪深300,5723622200,603848700,2240.8256,20140107
30,399300,11:30,2242.484,2014-01-07,2246.791,2241.612,2241.647,沪深300,4499893400,459623300,2244.1921,20140107
30,399300,13:30,2237.959,2014-01-07,2243.286,2237.501,2243.039,沪深300,4058326400,409412100,2239.715,20140107
30,399300,14:00,2234.308,2014-01-07,2238.11,2232.863,2237.614,沪深300,4668373100,497654400,2234.7626,20140107
30,399300,14:30,2231.147,2014-01-07,2234.681,2229.651,2234.678,沪深300,4504438800,459177400,2231.7377,20140107
30,399300,15:00,2237.861,2014-01-07,2238.356,2231.301,2231.301,沪深300,5647230900,581572100,2235.0252,20140107
30,399300,10:00,2256.449,2014-01-08,2262.584,2236.505,2240.635,沪深300,9210886626,922648700,2248.6365,20140108
30,399300,10:30,2246.016,2014-01-08,2256.503,2245.945,2256.503,沪深300,6136939400,596921200,2251.4083,20140108
30,399300,11:00,2240.882,2014-01-08,2246.761,2239.395,2246.266,沪深300,5129498800,500744400,2242.6849,20140108
30,399300,11:30,2231.501,2014-01-08,2241.043,2228.418,2240.58,沪深300,5546058100,602072500,2233.4607,20140108
30,399300,13:30,2243.88,2014-01-08,2251.907,2232.288,2232.288,沪深300,5884377800,599477100,2245.064,20140108
30,399300,14:00,2244.243,2014-01-08,2245.479,2240.564,2244.413,沪深300,4774417600,470670100,2243.6462,20140108
30,399300,14:30,2241.696,2014-01-08,2246.679,2240.488,2243.743,沪深300,6480805600,642476100,2243.8299,20140108
30,399300,15:00,2241.924,2014-01-08,2242.608,2237.298,2242.608,沪深300,7229696500,766752000,2240.1168,20140108
30,399300,10:00,2244.299,2014-01-09,2250.935,2232.76,2236.967,沪深300,8468372374,869822300,2244.2527,20140109
30,399300,10:30,2247.06,2014-01-09,2247.06,2238.012,2243.978,沪深300,7558591800,715134100,2242.6779,20140109
30,399300,11:00,2257.813,2014-01-09,2258.007,2247.177,2247.177,沪深300,7311900800,717946200,2250.2849,20140109
30,399300,11:30,2252.313,2014-01-09,2258.894,2250.904,2258.552,沪深300,5678063900,537981500,2255.3031,20140109
30,399300,13:30,2245.951,2014-01-09,2253.334,2244.003,2252.47,沪深300,4447299600,451147800,2247.0125,20140109
30,399300,14:00,2239.393,2014-01-09,2246.675,2239.381,2245.638,沪深300,5284002300,641409400,2242.5988,20140109
30,399300,14:30,2225.351,2014-01-09,2238.929,2225.225,2238.929,沪深300,6678692700,690435100,2232.638,20140109
30,399300,15:00,2222.563,2014-01-09,2228.282,2220.802,2225.432,沪深300,8642136600,940858700,2224.1682,20140109
30,399300,10:00,2208.708,2014-01-10,2221.276,2203.765,2216.521,沪深300,9615600230,1120138600,2213.9324,20140110
30,399300,10:30,2220.402,2014-01-10,2224.494,2207.551,2207.805,沪深300,6541241400,745210700,2216.9279,20140110
30,399300,11:00,2208.027,2014-01-10,2220.755,2205.657,2220.748,沪深300,5367320900,603677000,2211.7299,20140110
30,399300,11:30,2210.206,2014-01-10,2210.206,2202.708,2208.184,沪深300,5366576900,627133400,2207.0687,20140110
30,399300,13:30,2209.067,2014-01-10,2216.777,2209.067,2209.964,沪深300,3731664500,419424500,2212.5998,20140110
30,399300,14:00,2210.455,2014-01-10,2211.88,2205.412,2208.717,沪深300,4165981500,450422200,2207.628,20140110
30,399300,14:30,2202.134,2014-01-10,2210.868,2200.853,2210.234,沪深300,5364908300,585630300,2205.4629,20140110
30,399300,15:00,2204.995,2014-01-10,2207.93,2200.215,2201.675,沪深300,7013051500,815113100,2204.4607,20140110
30,399300,10:00,2213.401,2014-01-13,2222.072,2201.728,2206.996,沪深300,9139412870,1092012000,2213.707,20140113
30,399300,10:30,2204.468,2014-01-13,2212.523,2204.274,2212.523,沪深300,5664399300,590904300,2208.6244,20140113
30,399300,11:00,2201.028,2014-01-13,2204.178,2195.824,2204.178,沪深300,5762902200,616756500,2199.8439,20140113
30,399300,11:30,2200.237,2014-01-13,2205.724,2199.949,2201.002,沪深300,3960967000,393557800,2202.8204,20140113
30,399300,13:30,2194.857,2014-01-13,2202.166,2194.857,2200.376,沪深300,4030266100,442126400,2199.4354,20140113
30,399300,14:00,2187.963,2014-01-13,2194.911,2186.265,2194.794,沪深300,5326266800,538793100,2190.8051,20140113
