indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-02,2330.026,2323.433,2310.653,2325.991,2321.978,4519429100,49012211124.0,-8.048,-0.003454
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-03,2321.978,2311.968,2280.887,2314.836,2290.779,5978264500,57739709924.0,-31.199,-0.013436
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-06,2290.779,2286.371,2229.334,2286.371,2238.637,6630040300,59979360128.0,-52.142,-0.022762
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-07,2238.637,2222.306,2218.647,2246.791,2238.001,4375310300,42565648108.0,-0.636,-0.000284
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-08,2238.001,2240.635,2228.418,2262.584,2241.911,5134885400,50691488898.0,3.91,0.001747
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-09,2241.911,2236.967,2220.802,2258.894,2222.221,5598704100,54399491333.0,-19.69,-0.008783
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-10,2222.221,2216.521,2200.215,2224.494,2204.851,5416929300,47572309533.0,-17.37,-0.007817
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-13,2204.851,2206.996,2183.597,2222.072,2193.679,5012277200,46123003754.0,-11.172,-0.005067
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-14,2193.679,2192.844,2179.908,2214.124,2212.846,5404994700,46785099888.0,19.167,0.008737
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-15,2212.846,2210.024,2193.802,2215.903,2208.941,4896239500,45755914348.0,-3.905,-0.001765
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-16,2208.941,2209.448,2201.56,2227.262,2211.844,5229890200,49842784005.0,2.903,0.001314
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-17,2211.844,2203.821,2175.876,2205.972,2178.488,5027315500,46268159163.0,-33.356,-0.015081
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-20,2178.488,2173.651,2156.458,2182.463,2165.993,4056015400,39157227541.0,-12.495,-0.005736
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-21,2165.993,2168.42,2168.42,2197.923,2187.41,4030624700,38590992772.0,21.417,0.009888
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-22,2187.41,2190.432,2187.534,2244.133,2243.796,7064137500,64803357078.0,56.386,0.025778
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-23,2243.796,2242.245,2228.057,2248.924,2231.889,5634595100,55726417393.0,-11.907,-0.005307
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-24,2231.889,2225.758,2222.893,2257.355,2245.678,6116767000,59563444873.0,13.789,0.006178
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-27,2245.678,2233.015,2211.799,2233.231,2215.919,7034424600,63503992484.0,-29.759,-0.013252
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-28,2215.919,2220.785,2205.972,2233.257,2219.855,5326913000,49408754555.0,3.936,0.001776
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-29,2219.855,2225.711,2219.928,2233.057,2227.781,5022271700,48788682770.0,7.926,0.003571
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-01-30,2227.781,2223.163,2200.224,2223.163,2202.45,4363230400,43475960839.0,-25.331,-0.011371
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-07,2202.45,2187.343,2177.117,2212.498,2212.483,5045931500,49597106433.0,10.033,0.004555
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-10,2212.483,2221.54,2221.54,2270.194,2267.534,8306571600,81103244127.0,55.051,0.024882
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-11,2267.534,2267.735,2262.599,2296.516,2285.562,9922982900,92688969126.0,18.028,0.00795
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-12,2285.562,2286.187,2276.444,2294.317,2291.246,7659216100,73487379679.0,5.684,0.002487
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-13,2291.246,2288.451,2278.261,2307.474,2279.554,9621778900,87352124305.0,-11.692,-0.005103
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-14,2279.554,2278.4,2274.429,2295.852,2295.575,6708299700,64613327719.0,16.021,0.007028
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-17,2295.575,2308.791,2293.552,2315.579,2311.647,8783166600,86871352624.0,16.072,0.007001
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-18,2311.647,2310.309,2276.108,2310.309,2282.442,8704974300,88107267954.0,-29.205,-0.012634
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-19,2282.442,2280.927,2274.152,2317.42,2308.656,9935256100,88341900374.0,26.214,0.011485
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-20,2308.656,2314.088,2286.203,2331.698,2287.436,10643953300,91771595713.0,-21.22,-0.009191
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-21,2287.436,2284.03,2250.652,2287.869,2264.294,7636899300,69908188663.0,-23.142,-0.010117
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2014-02-24,2264.294,2246.715,2194.164,2246.715,2214.509,8921593900,79599146389.0,-49.785,-0.021987
